verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
405,3:110,The Best Community,3,110,En İyi Topluluk,La meilleure communauté,Die beste Gemeinschaft,Komuniti Terbaik,بهترین جامعه,மிகச் சிறந்த சமுதாயம்,Den bästa gemenskapen,Лучшее сообщество,সেরা সম্প্রদায়,La mejor comunidad,بہترین برادری
408,3:113,Righteous Jews & Christians,3,113,Doğru Yahudiler & Doğru Hrıstiyanlar,Juifs et chrétiens vertueux,Gerechte Juden und Christen,Orang Yahudi dan Kristian yang benar,یهودیان و مسیحیان صالح,நன்னெறிமிக்க யூதர்கள் & கிறிஸ்துவர்கள்,Rättfärdiga judar och kristna,Праведные евреи и христиане,সৎ ইহুদী ও খ্রিস্টান,Justos judíos y cristianos,نیک یہودی اور عیسائی
413,3:118,Do Not Befriend Hypocrites,3,118,İkiyüzlüleri Dost Edinmeyin,Ne pas se lier d'amitié avec les hypocrites,Freunden Sie sich nicht mit Heuchlern an,Jangan berkawan dengan munafik,با ریاکاران دوستى مكن,நயவஞ்சகர்களுடன் தோழமை கொள்ளாதீர்கள்,Bli inte vän med hycklare,Не дружите с лицемерами,মুনাফিকদের সাথে বন্ধুত্ব করবেন না,No te hagas amigo de los hipócritas,منافقوں سے دوستی نہ کرو
416,3:121,The Battle of Badr,3,121,Bedir Savaşı,La bataille de Badr,Die Schlacht von Badr,Pertempuran Badr,نبرد بدر,பத்ர் யுத்தம்,Slaget vid Badr,Битва при Бадре,বদরের যুদ্ধ,La batalla de Badr,غزوۂ بدر
419,3:124,God's Angels Help the Believers,3,124,Tanrı'nın Melekleri İmanlılara Yardım Eder,Les anges de Dieu aident les croyants,Gottes Engel helfen den Gläubigen,Malaikat Allah membantu orang-orang yang beriman,فرشتگان خدا به مؤمنان کمک می‌کنند,கடவுளின் வானவர்கள் நம்பிக்கையாளர்களுக்கு உதவுகின்றனர்,Guds änglar hjälper de troende,Ангелы Божьи помогают верующим,ঈশ্বরের ফেরেশতারা বিশ্বাসীদের সাহায্য করে,Los ángeles de Dios ayudan a los creyentes,اللہ کے فرشتے مومنوں کی مدد کرتے ہیں
308,3:13,Believers: The Ultimate Victors,3,13,İmanlılar: Nihai Galipler,Les croyants : Les vainqueurs ultimes,Gläubige: Die ultimativen Sieger,Orang-orang yang beriman: Para pemenang sejati,باورمندان: فاتحان نهایی,நம்பிக்கையாளர்கள்: இறுதியான வெற்றியாளர்கள்,De troende: De ultimata segrarna,Верующие: Победители,বিশ্বাসীরা: পরম বিজয়ীরা,Creyentes: Los vencedores finales,مومن: حتمی فاتحین
425,3:130,Usury Prohibited*,3,130,Yüksek Faiz Haram Kılınmıştır,L'usure est interdite*,Wucher ist verboten*,Riba Dilarang*,ربا ممنوع است*,அநியாய வட்டி தடுக்கப்படுகின்றது*,Ocker förbjuds*,Ростовщичество запрещено*,সুদ নিষিদ্ধ*,Prohibición de la usura*.,سود کی ممانعت*
428,3:133,Attributes of the Righteous,3,133,Doğruların Özellikleri,Attributs des justes,Attribute der Gerechten,Sifat-sifat orang yang soleh,ویژگی‌های صالحان,நன்னெறியாளர்களின் பண்புகள்,Den rättfärdiges egenskaper,Атрибуты праведника,সৎকর্মশীলদের গুণাবলী,Atributos de los justos,نیک لوگوں کی صفات
432,3:137,Victory for the Righteous,3,137,Doğrular için Galibiyet,Victoire pour les justes,Sieg für die Gerechten,Kemenangan bagi orang yang benar,پیروزی برای صالحان,நன்னெறியாளர்களுக்கு வெற்றி,Seger för de rättfärdiga,Победа праведников,সৎ ব্যক্তিদের বিজয়,Victoria de los justos,نیکوں کی فتح
309,3:14,Different Priorities,3,14,Farklı Öncelikler,Des priorités différentes,Unterschiedliche Prioritäten,Keutamaan yang berbeza,اولویت‌های متفاوت,வேறுபட்ட முன்னுரிமைகள்,Olika prioriteringar,Разные приоритеты,বিভিন্ন অগ্রাধিকার,Diferentes prioridades,مختلف ترجیحات
437,3:142,Our Claims Must Be Tested,3,142,İddialarımız Test Edilmeli,Nos affirmations doivent être testées,Unsere Behauptungen müssen geprüft werden,Tuntutan Kami Harus Diuji,ادعاهای ما باید آزموده شوند,நம்முடைய கோரிக்கைகள் பரிசீலனைக்கு உட்பட்டேயாக வேண்டும்,Våra påståenden måste prövas,Наши утверждения должны быть проверены,আমাদের দাবিগুলো পরীক্ষা করা আবশ্যক।,Nuestras afirmaciones deben probarse,ہمارے دعوے آزمائے جانے چاہئیں۔
440,3:145,Time of Death Predetermined,3,145,Ölüm Vakti Önceden Belirlenmiştir,Heure de la mort prédéterminée,Todeszeitpunkt vorbestimmt,Masa Kematian Telah Ditentukan,زمان مرگ از پیش تعیین شده,மரணத்தின் நேரம் முன்னரே தீர்மானிக்கப்பட்டுவிட்டது,Förutbestämd tidpunkt för dödsfallet,Время смерти определено заранее,মৃত্যুর সময় পূর্বনির্ধারিত,Hora de la muerte predeterminada,وقتِ موت پہلے سے مقرر
446,3:151,God Controls Your Enemies,3,151,"Tanrı, Düşmanlarımızı Kontrol Eder",Dieu contrôle vos ennemis,Gott kontrolliert deine Feinde,Tuhan mengawal musuh-musuhmu,خدا دشمنانت را کنترل می‌کند,உங்களுடைய விரோதிகளைக் கடவுள் கட்டுப்படுத்துகின்றார்,Gud kontrollerar dina fiender,Бог управляет вашими врагами,ঈশ্বর আপনার শত্রুদের নিয়ন্ত্রণ করেন,Dios controla a sus enemigos,خدا آپ کے دشمنوں کو کنٹرول کرتا ہے۔
447,3:152,The Battle of Uhud,3,152,Uhud Muharabesi,La bataille d'Uhud,Die Schlacht von Uhud,Pertempuran Uhud,نبرد اُحد,உஹத் யுத்தம்,Slaget vid Uhud,Битва при Ухуде,উহুদের যুদ্ধ,La batalla de Uhud,غزوۂ اُحد
449,3:154,Moment of Death Predetermined,3,154,Ölüm Anı Önceden Belirlenmiştir,Le moment de la mort est prédéterminé,Der Todeszeitpunkt ist vorherbestimmt,Momen kematian telah ditentukan,لحظه مرگ از پیش تعیین شده,மரணத் தருவாய் முன்னரே தீர்மானிக்கப்பட்டுவிட்டது,Dödsögonblicket förutbestämt,Момент смерти предопределен,মৃত্যুর মুহূর্ত পূর্বনির্ধারিত,Momento de la muerte predeterminado,لمحۂ موت پہلے سے مقرر
454,3:159,The Messenger's Kindness,3,159,Elçinin Nezaketi,La gentillesse du messager,Die Freundlichkeit des Boten,Kebaikan Utusan,مهربانی پیامبر,தூதரின் இரக்க குணம்,Budbärarens vänlighet,Доброта посланника,বার্তাবাহকের দয়া,La bondad del mensajero,پیغامبر کی مہربانی
456,3:161,No One Above the Law,3,161,Hiç Kimse Kanunun Üstünde Değildir,Personne n'est au-dessus de la loi,Keiner steht über dem Gesetz,Tiada siapa di atas undang-undang,هیچ‌کس بالاتر از قانون نیست,எவர் ஒருவரும் சட்டத்திற்கு அப்பாற்பட்டவர்கள் அல்லர்,Ingen står över lagen,Никто не может быть выше закона,আইনের ঊর্ধ্বে কেউ নেই,Nadie por encima de la ley,قانون سے بالاتر کوئی نہیں
464,3:169,The Righteous Do Not Really Die*,3,169,Doğrular Gerçekte Ölmezler,Les justes ne meurent pas vraiment*,Die Gerechten sterben nicht wirklich*,Orang-orang yang benar sebenarnya tidak mati*,صالحان در واقع نمی‌میرند*,நன்னெறியாளர்கள் உண்மையில் மரணிப்பதில்லை*,De rättfärdiga dör inte på riktigt*,Праведники не умирают*,সৎ মানুষরা আসলে মারা যায় না*,Los justos no mueren de verdad*.,نیک لوگ حقیقت میں مرتے نہیں ہیں*
470,3:175,Fear: The Devil's Tool,3,175,Korku: Şeytanın Aracı,La peur : l'outil du diable,Angst: Das Werkzeug des Teufels,Ketakutan: Alat Iblis,ترس: ابزار شیطان,அச்சம்: சாத்தானின் ஆயுதம்,Rädsla: Djävulens verktyg,Страх: инструмент дьявола,ভয়: শয়তানের হাতিয়ার,Miedo: la herramienta del diablo,خوف: شیطان کا آلہ
313,3:18,The Most Important Commandment*,3,18,En Önemli Buyruk,Le commandement le plus important*,Das wichtigste Gebot*,Larautan Paling Penting*,مهم‌ترین فرمان*,மிக முக்கியமான கட்டளை*,Det viktigaste budordet*,Самая важная заповедь*,সর্বাধিক গুরুত্বপূর্ণ আদেশ*,El mandamiento más importante,سب سے اہم حکم*
476,3:181,Humans Continue to Defy God,3,181,İnsanlar Tanrı'ya Meydan Okumaya Devam Ediyorlar,Les humains continuent de défier Dieu,Die Menschen trotzen Gott weiterhin,Manusia terus memberontak kepada Tuhan,انسان‌ها همچنان خدا را به چالش می‌کشند,மானிடர்கள் கடவுளுக்கு பகிரங்கமான அறைகூவல் விடுவதைத் தொடர்கின்றனர்,Människan fortsätter att trotsa Gud,Люди продолжают бросать вызов Богу,মানুষ ঈশ্বরকে অবজ্ঞা করতেই থাকে,Los humanos siguen desafiando a Dios,انسان خدا کی نافرمانی جاری رکھتے ہیں
480,3:185,A Great Triumph,3,185,Büyük Bir Zafer,Un grand triomphe,Ein großer Triumph,Kemenangan Yang Hebat,یک پیروزی بزرگ,ஒரு மாபெரும் வெற்றி,En stor triumf,Великий триумф,একটি মহান বিজয়,Un gran triunfo,ایک عظیم فتح
481,3:186,The Inevitable Test*,3,186,Kaçınılmaz Test,L'inévitable test*,Die unvermeidliche Prüfung*,Ujian yang Tak Terelakkan*,آزمون اجتناب‌ناپذیر*,தவிர்த்து விட முடியாத சோதனை*,Det oundvikliga testet*,Неизбежное испытание*,অনিবার্য পরীক্ষা*,La prueba inevitable,ناگزیر آزمائش*
314,3:19,Submission: The Only Religion,3,19,Teslimiyet: Tek Din,La soumission : La seule religion,Unterwerfung: Die einzige Religion,Penghantaran: Satu-satunya Agama,ارسال: تنها دین,சரணடைதல்: ஒரே மார்க்கம்,Underkastelse: Den enda religionen,Покорность: Единственная религия,সমর্পণ: একমাত্র ধর্ম,La sumisión: La única religión,جمع کرائی گئی: واحد مذہب
485,3:190,Those Who Possess Intelligence,3,190,Akıl Sahipleri,Ceux qui possèdent l'intelligence,"Diejenigen, die über Intelligenz verfügen",Mereka yang memiliki kecerdasan,دارندگان هوش,அறிவுத்திறன் உடையவர்கள்,De som besitter intelligens,"Те, кто обладает интеллектом",যারা বুদ্ধিমত্তা ধারণ করে,Los que poseen inteligencia,وہ لوگ جو ذہانت رکھتے ہیں
490,3:195,God Responds,3,195,Tanrı Yanıtlıyor,Dieu répond,Gott antwortet,Tuhan menjawab,خدا پاسخ می‌دهد,கடவுள் மறுமொழியளிக்கின்றார்,Gud svarar,Бог отвечает,ঈশ্বর উত্তর দেন,Dios responde,خدا جواب دیتا ہے
494,3:199,Righteous Jews and Christians,3,199,Doğru Olan Yahudi ve Hrıstiyanlar,Juifs et chrétiens vertueux,Gerechte Juden und Christen,Orang Yahudi dan Kristian yang benar,یهودیان و مسیحیان پارسا,நன்னெறிமிக்க யூதர்களும் கிறிஸ்துவர்களும்,Rättfärdiga judar och kristna,Праведные евреи и христиане,সৎ ইহুদী ও খ্রিস্টানরা,Justos judíos y cristianos,نیک یہودی اور عیسائی
321,3:26,Attributes of God,3,26,Tanrı'nın Özellikleri,Les attributs de Dieu,Attribute Gottes,Sifat-sifat Tuhan,صفات خدا,கடவுளின் தன்மைகள்,Guds egenskaper,Атрибуты Бога,ঈশ্বরের গুণাবলী,Atributos de Dios,خدا کی صفات
323,3:28,Choose Your Friends Carefully,3,28,Dostlarınızı Dikkatle Seçin,Choisissez vos amis avec soin,Wählen Sie Ihre Freunde mit Bedacht,Pilih rakan anda dengan berhati-hati,دوستانتان را با دقت انتخاب کنید,உங்களுடைய நண்பர்களைக் கவனமாகத் தேர்ந்தெடுங்கள்,Välj dina vänner med omsorg,Тщательно выбирайте друзей,সাবধানে বন্ধু নির্বাচন করুন,Elige bien a tus amigos,اپنے دوست احتیاط سے چنیں
328,3:33,The Birth of Mary,3,33,Meryem'in Doğuşu,La naissance de Marie,Die Geburt von Maria,Kelahiran Maria,ولادت مریم,மேரியின் தோற்றம்,Marias födelse,Рождение Марии,মেরির জন্ম,El nacimiento de María,مریم کی ولادت
333,3:38,The Birth of John,3,38,Yahya'nun Doğuşu,La naissance de Jean,Die Geburt des Johannes,Kelahiran John,تولد یوحنا,ஜானின் தோற்றம்,Johannes födelse,Рождение Иоанна,যোহনের জন্ম,El nacimiento de Juan,یوحنا کی ولادت
337,3:42,Mary and Jesus,3,42,Meryem ve İsa,Marie et Jésus,Maria und Jesus,Maria dan Yesus,مریم و عیسی,மேரி மற்றும் ஜீஸஸ்,Maria och Jesus,Мария и Иисус,মেরি ও যীশু,María y Jesús,مریم اور یسوع
349,3:54,The Death of Jesus*,3,54,İsa'nın Ölümü,La mort de Jésus*,Der Tod von Jesus*,Kematian Yesus*,مرگ عیسی*,ஜீஸஸின் மரணம்*,Jesu död*,Смерть Иисуса*,যিশুর মৃত্যু*,La muerte de Jesús,حضرت عیسیٰ کی موت*
354,3:59,Mathematical Confirmation*,3,59,Matematiksel Doğrulama,Confirmation mathématique*,Mathematische Bestätigungen*,Pengesahan Matematik*,تأیید ریاضی*,கணித ரீதியான உறுதிப்படுத்துதல்*,Matematisk bekräftelse*,Математическое подтверждение*,গণিতগত নিশ্চিতকরণ*,Confirmación matemática,ریاضیاتی تصدیق*
356,3:61,Challenging the Disbelievers,3,61,İnkârcılara Meydan Okuma,Défier les mécréants,Herausforderung der Ungläubigen,Menantang orang-orang yang kafir,چالش با کافران,நம்பமறுப்பவர்களுக்கு அறைகூவல் விடுதல்,Utmana de icke-troende,Бросая вызов неверующим,অবিশ্বাসীদের চ্যালেঞ্জ,Desafiar a los incrédulos,کافروں کو للکارنا
359,3:64,Invitation to All Believers,3,64,Bütün İmanlılara Davet,Invitation à tous les croyants,Einladung an alle Gläubigen,Jemputan kepada Semua Orang Percaya,دعوت به همه مؤمنان,நம்பிக்கையாளர்கள் அனைவருக்கும் அழைப்பு,Inbjudan till alla troende,Приглашение для всех верующих,সকল বিশ্বাসীদের আমন্ত্রণ,Invitación a todos los creyentes,تمام ایمان والوں کی دعوت
370,3:75,Be Honest With All People,3,75,Bütün İnsanlara Karşı Dürüst Ol,Être honnête avec tout le monde,Seien Sie ehrlich zu allen Menschen,Bersikap jujur kepada semua orang,با همه مردم صادق باشید,மக்கள் அனைவருடனும் நேர்மையாக இருங்கள்,Var ärlig mot alla människor,Будьте честны со всеми людьми,সব মানুষের সাথে সৎ থাকুন,Sea sincero con todas las personas,سب لوگوں کے ساتھ ایماندار رہو
376,3:81,Major Prophecy Fulfilled* God's Messenger of the Covenant,3,81,Büyük Kehanet Gerçekleşti: Tanrı'nın Antlaşma Elçisi,L'accomplissement d'une prophétie majeure* Le messager de l'alliance de Dieu,Erfüllte Hauptprophezeiung* Gottes Gesandter des Bundes,Nubuat Utama Telah Digenapi* Utusan Perjanjian Allah,پیامبر بزرگ مژده‌دهنده* فرستاده عهد خدا,முக்கியமான முன்னறிவிப்பு நிறைவேற்றப்பட்டது:கடவுளின் உடன்படிக்கைத் தூதர்*,Viktig profetia uppfylld* Guds budbärare av förbundet,Исполнение главного пророчества* Божий посланник завета,প্রধান ভবিষ্যদ্বাণী পূরণ* প্রতিশ্রুতির ঈশ্বরের দূত,Profecía Mayor Cumplida* El Mensajero de Dios de la Alianza,ایک بڑی پیشگوئی پوری ہوئی* عہد کا خدا کا رسول
377,3:82,Rejectors of God's Messenger of the Covenant are Disbelievers,3,82,Tanrı'nın Antlaşma Elçisini Reddedenler İnkârcılardır,Les personnes qui rejettent le Messager de Dieu sont des mécréants.,"Wer Gottes Gesandten des Bundes ablehnt, ist ungläubig",Penolak Utusan Perjanjian Allah adalah orang-orang kafir,ردکنندگان پیامبر عهد خدا کافرند,கடவுளின் உடன்படிக்கைத் தூதரை ஏற்கமறுப்பவர்கள் நம்பமறுப்பவர்களாகவே இருக்கின்றனர்,De som förkastar Guds budbärare i förbundet är icke-troende,Отвергающие Посланника Божьего Завета - неверующие,ঈশ্বরের প্রতিশ্রুতিদূতকে প্রত্যাখ্যানকারীরা অবিশ্বাসী।,Los que rechazan al Mensajero de Dios de la Alianza son incrédulos,اللہ کے عہد کے رسول کے رَد کرنے والے کافر ہیں
379,3:84,Make No Distinction Among God's Messengers,3,84,Tanrı'nın Elçileri Arasında Hiçbir Ayrım Yapmayın,Ne pas faire de distinction entre les messagers de Dieu,Keine Unterscheidung zwischen Gottes Gesandten machen,Jangan membuat perbezaan antara para utusan Allah,در میان پیامبران خدا فرق نگذارید,கடவுளின் தூதர்களுக்கிடையில் எந்தப் பாகுபாடும் செய்யாதீர்கள்,Gör ingen åtskillnad mellan Guds budbärare,Не делайте различий между посланниками Бога,আল্লাহর প্রেরিতদের মধ্যে পার্থক্য করবেন না,No distingas entre los mensajeros de Dios,اللہ کے پیغمبروں میں فرق نہ کرو
380,3:85,Only One Religion Approved by God,3,85,Tanrı Tarafından Onaylı Tek Bir Din,Une seule religion approuvée par Dieu,Nur eine von Gott gebilligte Religion,Hanya Satu Agama yang Disetujui oleh Tuhan,تنها یک دین مورد تأیید خدا,கடவுளால் அங்கீகரிக்கப்பட்ட ஒரே ஒரு மார்க்கம்,Endast en religion godkänd av Gud,Только одна религия одобрена Богом,ঈশ্বর কর্তৃক অনুমোদিত একমাত্র ধর্ম,Sólo hay una religión aprobada por Dios,خدا کی طرف سے منظور شدہ صرف ایک مذہب
385,3:90,When Repentance is Unacceptable,3,90,Tövbe Ne Zaman Kabul Edilmez,Quand le repentir est inacceptable,Wenn Reue inakzeptabel ist,Apabila Taubat Tidak Diterima,زمانی که توبه غیرقابل قبول است,வருந்துதல் எப்பொழுது ஏற்றுக் கொள்ளப்பட முடியாததாகின்றது,När ånger är oacceptabelt,Когда покаяние неприемлемо,যখন অনুতাপ অগ্রহণযোগ্য,Cuando el arrepentimiento es inaceptable,جب توبہ ناقابلِ قبول ہو
388,3:93,Do Not Prohibit What Is Lawful,3,93,Helal Şeyleri Haram Kılmayın,Ne pas interdire ce qui est légal,"Nicht verbieten, was rechtmäßig ist",Jangan Larang Apa yang Sah,آنچه حلال است را ممنوع نکنید,அனுமதிக்கப்பட்டவற்றைத் தடை செய்யாதீர்கள்,Förbjud inte det som är lagligt,"Не запрещайте то, что законно","যা আইনসম্মত, তা নিষিদ্ধ করবেন না",No prohíbas lo que es lícito,جو جائز ہے اسے ممنوع نہ ٹھہراؤ
3446,30:11,Idol Worshipers Disown Their Idols,30,11,Puta Tapanlar Putlarını Sahiplenmezler,Les adorateurs d'idoles renient leurs idoles,Götzenanbeter verleugnen ihre Götzen,Para penyembah berhala menafikan berhala mereka,بت‌پرستان از بت‌های خود دست می‌کشند,போலித் தெய்வ வழிபாடு செய்பவர்கள் தங்கள் போலித் தெய்வங்களைக் கைவிட்டு விடுகின்றனர்,Idoldyrkare förnekar sina idoler,Поклонники идолов отрекаются от своих кумиров,মূর্তি পূজারীরা তাদের মূর্তিকে অস্বীকার করে,Los adoradores de ídolos reniegan de sus ídolos,بت پرستوں نے اپنے بتوں سے لاتعلقی اختیار کر لی۔
3452,30:17,"Remember God, Always",30,17,"Tanrı'yı Hatırlayın, Her Zaman","Se souvenir de Dieu, toujours",Immer an Gott denken,"Ingatlah Tuhan, sentiasa",خدا را همیشه به یاد داشته باش,"எந்நேரமும், கடவுளை நினைவு கூர்ந்திடுங்கள்",Kom alltid ihåg Gud,"Помните о Боге, всегда",সর্বদা ঈশ্বরকে স্মরণ করো,Acuérdate siempre de Dios,ہمیشہ خدا کو یاد رکھو
3455,30:20,Marriage: A Divine Institution,30,20,Evlilik: İlahi Bir Kurum,Le mariage : Une institution divine,Die Ehe: Eine göttliche Institution,Perkahwinan: Satu Institusi Ilahi,ازدواج: یک نهاد الهی,திருமணம்: ஒரு தெய்வீக ஒழுங்குமுறை,Äktenskapet: En gudomlig institution,Брак: Божественный институт,বিবাহ: একটি ঐশ্বরিক প্রতিষ্ঠান,El matrimonio: Una institución divina,شادی: ایک الٰہی ادارہ
3457,30:22,More Proofs,30,22,Daha Fazla Kanıt,Plus de preuves,Mehr Beweise,Lebih Banyak Bukti,اثبات‌های بیشتر,மேலதிகமான சான்றுகள்,Fler bevis,Больше доказательств,আরও প্রমাণসমূহ,Más pruebas,مزید ثبوت
3463,30:28,Absurdity of Idol Worship,30,28,Puta Tapmanın Saçmalığı,Absurdité du culte des idoles,Die Absurdität der Götzenanbetung,Kebodohan penyembahan berhala,بی‌معنی بودن بت‌پرستی,போலித்தெய்வ வழிபாட்டின் அபத்தத்தன்மை,Idoldyrkandets absurditet,Абсурдность поклонения идолам,মূর্তি পূজার অযৌক্তিকতা,El absurdo del culto a los ídolos,بت پرستی کی بےمعنیٰ پن
3465,30:30,Monotheism: Natural Instinct*,30,30,Tek Tanrıcılık: Doğal İçgüdü,Le monothéisme : L'instinct naturel*,Monotheismus: Natürlicher Instinkt*,Monoteisme: Instink Semula Jadi*,توحید: غریزهٔ طبیعی*,ஏகத்துவம்: இயற்கையான உள்ளுணர்வு*,Monoteism: Naturlig instinkt*,Монотеизм: Природный инстинкт*,একত্ববাদ: প্রাকৃতিক প্রবৃত্তি*,Monoteísmo: Instinto natural,توحید: فطری جبلت*
3467,30:32,Sectarianism Condemned,30,32,Mezhepçilik Kınandı,Le sectarisme condamné,Verurteilung von Sektierertum,Sektarianisme Dikecam,محکومیت فرقه گرایی,பிரிவினைவாதம் கண்டிக்கப்படுகின்றது,Fördömande av sekterism,Сектантство осуждено,সম্প্রদায়বাদ নিন্দিত,Condena del sectarismo,فرقہ پرستی کی مذمت
3468,30:33,Bad Weather Friends,30,33,Kötü Gün Dostları,Amis du mauvais temps,Bad Weather Friends,Teman Cuaca Buruk,دوستان هوای بد,கஷ்ட காலத்தில் நண்பர்கள்,Vänner i dåligt väder,Друзья по плохой погоде,খারাপ আবহাওয়ার বন্ধুরা,Amigos del mal tiempo,خراب موسم کے دوست
3475,30:40,Who Is Worthy of Worship?,30,40,Kim Tapılmaya Layıktır?,Qui est digne d'être adoré ?,Wer ist der Anbetung würdig?,Siapa yang layak disembah?,چه کسی شایسته پرستش است؟,வழிபடத் தகுதியானவர் யார்?,Vem är värd att tillbedjas?,Кто достоин поклонения?,উপাসনার যোগ্য কে?,¿Quién merece ser adorado?,عبادت کے لائق کون ہے؟
3477,30:42,Learning From History,30,42,Tarihten Ders Almak,Tirer les leçons de l'histoire,Aus der Geschichte lernen,Belajar Daripada Sejarah,آموختن از تاریخ,சரித்திரத்திலிருந்து கற்றுக் கொள்ளுதல்,Att lära av historien,Учиться у истории,ইতিহাস থেকে শেখা,Aprender de la historia,تاریخ سے سیکھنا
3482,30:47,Guaranteed Victory for the Believers,30,47,İmanlılar İçin Garanti Edilmiş Galibiyet,Victoire garantie pour les croyants,Garantierter Sieg für die Gläubigen,Kemenangan Terjamin bagi Orang-orang Beriman,پیروزی قطعی برای مؤمنان,நம்பிக்கையாளர்களுக்கு உத்தரவாதமான வெற்றி,Garanterad seger för de troende,Гарантированная победа для верующих,বিশ্বাসীদের জন্য নিশ্চিত বিজয়,Victoria garantizada para los creyentes,مومنوں کے لیے یقینی فتح
3489,30:54,This Life is Very Short,30,54,Bu Hayat Çok Kısa,Cette vie est très courte,Das Leben ist sehr kurz,Kehidupan ini sangat singkat,این زندگی بسیار کوتاه است,இந்த வாழ்வு மிகவும் குறுகியது,Detta liv är mycket kort,Эта жизнь очень коротка,এই জীবন খুবই সংক্ষিপ্ত,Esta vida es muy corta,یہ زندگی بہت مختصر ہے
3494,30:59,Divine Intervention,30,59,İlahi Müdahale,Intervention divine,Göttliches Eingreifen,Campur Tangan Ilahi,مداخله الهی,தெய்வீகத்தலையீடு,Gudomlig intervention,Божественное вмешательство,দৈব হস্তক্ষেপ,Intervención divina,الٰہی مداخلت
3441,30:6,Preoccupation With the Wrong Life,30,6,Zihnin Sürekli Yanlış Hayatla Meşgul Olması,Préoccupation pour la mauvaise vie,Die Beschäftigung mit dem falschen Leben,Terlalu Terlibat dengan Kehidupan yang Salah,مشغله با زندگی اشتباه,தவறான வாழ்வில் மூழ்கிவிடுதல்,Upptagenhet med fel liv,Озабоченность неправильной жизнью,ভুল জীবনের প্রতি আসক্তি,Preocupación por la vida equivocada,غلط زندگی میں مصروفیت
3508,31:12,Luqmãn's Wisdom,31,12,Lokman'ın Bilgeliği,La sagesse de Luqmãn,Luqmãns Weisheit,Kebijaksanaan Luqmãn,حکمت لقمان,லுக்மானின் ஞானம்,Luqmãns visdom,Мудрость Лукмана,লুকমানের প্রজ্ঞা,La sabiduría de Luqmãn,لقمان کی حکمت
3510,31:14,The Second Commandment,31,14,İkinci Buyruk,Le deuxième commandement,Das zweite Gebot,Perintah Kedua,دستور دوم,இரண்டாம் கட்டளை,Det andra budet,Вторая заповедь,দ্বিতীয় আদেশ,El segundo mandamiento,دوسری ہدایت
3512,31:16,Luqmãn's Advice,31,16,Lokman'ın Tavsiyesi,Les conseils de Luqmãn,Ratschläge von Luqmãn,Nasihat Luqmãn,نصیحت لقمان,லுக்மானின் உபதேசம்,Luqmãns råd,Совет Лукмана,লুকমানের উপদেশ,Consejo de Luqmãn,لقمان کی نصیحت
3517,31:21,Following the Parents Blindly: A Common Tragedy,31,21,Ataları Körü Körüne Taklit: Yaygın Bir Trajedi,Suivre aveuglément les parents : Une tragédie commune,Den Eltern blindlings folgen: Eine gemeinsame Tragödie,Mengikuti Ibu Bapa Secara Buta: Tragedi Biasa,پیروی کورکورانه‌ی والدین: یک تراژدی رایج,பெற்றோர்களைக் கண்மூடிப் பின்பற்றுதல்:ஒரு பொதுவான சோகம்,Att blint följa föräldrarna: En vanlig tragedi,Слепое следование за родителями: Общая трагедия,অন্ধভাবে পিতামাতাকে অনুসরণ: একটি সাধারণ ট্র্যাজেডি,Seguir ciegamente a los padres: Una tragedia común,والدین کی اندھا دھند تقلید: ایک عام المیہ
3518,31:22,The Strongest Bond,31,22,En Güçlü Bağ,Le lien le plus fort,Das stärkste Band,Ikatan Paling Kuat,بستۀ محکم‌ترین,மிகவும் உறுதியான பிடிமானம்,Det starkaste bandet,Самые крепкие узы,সবচেয়ে শক্তিশালী বন্ধন,El vínculo más fuerte,سب سے مضبوط رشتہ
3521,31:25,They Believe in God,31,25,Onlar Tanrı'ya İnanıyorlar,Ils croient en Dieu,Sie glauben an Gott,Mereka percaya kepada Tuhan,آنها به خدا ایمان دارند,அவர்கள் கடவுள் மீது நம்பிக்கை கொள்கின்றனர்,De tror på Gud,Они верят в Бога,তারা ঈশ্বরে বিশ্বাস করে,Creen en Dios,وہ خدا پر ایمان رکھتے ہیں
3523,31:27,These Are All the Words We Need,31,27,Bunlar İhtiyacımız Olan Tüm Sözlerdir,Voici tous les mots dont nous avons besoin,"Das sind alle Worte, die wir brauchen",Inilah semua perkataan yang kita perlukan,این‌ها تمام کلماتی هستند که ما نیاز داریم,நமக்குத் தேவையான வார்த்தைகள் எல்லாம் இவைதான்,Det här är alla ord vi behöver,"Это все слова, которые нам нужны",এগুলোই আমাদের প্রয়োজনীয় সব শব্দ,Estas son todas las palabras que necesitamos,یہ تمام الفاظ ہیں جن کی ہمیں ضرورت ہے
3525,31:29,God ALONE Worthy of Worship,31,29,YALNIZCA Tanrı Tapılmaya Layıktır,Dieu SEUL digne d'être adoré,Gott ALLEIN ist der Anbetung würdig,Hanya Tuhan Saja Yang Layak Disembah,تنها خدا شایستهٔ پرستش است,கடவுள் மட்டுமே வழிபடத் தகுதியானவர்,Gud ALLEN värdig tillbedjan,Бог ОДИН достоин поклонения,কেবল ঈশ্বরই উপাসনার যোগ্য,Sólo Dios es digno de adoración,صرف خدا ہی عبادت کے لائق ہے
