index,verse_index,verse_id,word_index,root_word,arabic,english,transliterated,meanings,chapter_number,verse_number
48745,3202,27:20,1,ف ق د,وَتَفَقَّدَ,And he inspected / took inventory / roll call (of),watafaqqada,to review; make an inquisition into; search out things lost or missed,27,20
48746,3202,27:20,2,ط ي ر,ٱلطَّيْرَ,the birds,l-ṭayra,to fly; flee; hasten to do a thing; flying thing; bad omen; bird; action; insect; one who soars with higher (spiritual) regions and is not low upon earthly things; suffer; deed; wide spreading,27,20
48747,3202,27:20,3,ق و ل,فَقَالَ,"and he said,",faqāla,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,20
48748,3202,27:20,4,م ا,مَا,"""What",mā,that; which; that which; whatsoever; as much as; any kind; when; how,27,20
48749,3202,27:20,5,ل,لِىَ,for me,liya,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",27,20
48750,3202,27:20,6,ل ا,لَآ,not,lā,no; not; [present tense],27,20
48751,3202,27:20,7,ر ا ي,أَرَى,I see,arā,to see; think; judge; hold; in opinion of; perceive; consider,27,20
48752,3202,27:20,8,ه د ه د,ٱلْهُدْهُدَ,the hoopoe,l-hud'huda,"to coo (as a dove), grumble (as a camel), dandle (as a child), throw (a thing down). hadhadatun - murmuring sound. hadaahid - patience. hudhud - bird, hoopoe upupa, lapwing, peewit",27,20
48753,3202,27:20,9,ا م,أَمْ,or,am,or (as a question),27,20
48754,3202,27:20,10,ك و ن,كَانَ,he was,kāna,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",27,20
48755,3202,27:20,11,م ن,مِنَ,from,mina,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,20
48756,3202,27:20,12,غ ي ب,ٱلْغَآئِبِينَ,the absentees / ones missing?,l-ghāibīna,unseen; to go away; remote; hidden; secret; slander; backbite; absent; beyond human understanding or perception; intimacy; bottom,27,20
48757,3203,27:21,1,ع ذ ب,لَأُعَذِّبَنَّهُۥ,"""I will surely punish him (with)",la-uʿadhibannahu,"punishment; retribution; chastisement; pain; abstaining from; exemplary punishment; averting anyone from striking punishment; prohibition; refusal; hinderance; obstacle; fresh; sweet and palatable water; fresh; sweet; palatable; digestible; easily swallowed; to deny; hinder; prevent; to be overspread with rubbish; diffuse and green mass (on top of stagnant water)...(as water averts thirst, punishment hinders and prevents committing crimes and foolish acts)",27,21
48758,3203,27:21,2,ع ذ ب,عَذَابًا,a retribution / punishment,ʿadhāban,"punishment; retribution; chastisement; pain; abstaining from; exemplary punishment; averting anyone from striking punishment; prohibition; refusal; hinderance; obstacle; fresh; sweet and palatable water; fresh; sweet; palatable; digestible; easily swallowed; to deny; hinder; prevent; to be overspread with rubbish; diffuse and green mass (on top of stagnant water)...(as water averts thirst, punishment hinders and prevents committing crimes and foolish acts)",27,21
48759,3203,27:21,3,ش د د,شَدِيدًا,severe,shadīdan,to bind tightly; strap; strengthen firmly; run; establish; make firm; hard; strong; be advanced (day); intense; great; strict; violent; severe; mighty; terrible; stern; grievous; age of full strength; maturity / شَدِيدٌ = severe; strong; mighty; sternly; great strength; violent (warfare); extreme limit,27,21
48760,3203,27:21,4,ا و,أَوْ,or,aw,or; either; whether; until; unless,27,21
48761,3203,27:21,5,ذ ب ح,لَأَا۟ذْبَحَنَّهُۥٓ,I will surely sacrifice him,laādh'baḥannahu,to split; cut the throat; sacrifice; slaughter; massacre; slay in large number; that which is sacrificed (without the intent of eating); victim; slaughtered one,27,21
48762,3203,27:21,6,ا و,أَوْ,or (unless),aw,or; either; whether; until; unless,27,21
48763,3203,27:21,7,ا ت ي,لَيَأْتِيَنِّى,surely he brings me,layatiyannī,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",27,21
48764,3203,27:21,8,س ل ط,بِسُلْطَـٰنٍ,of a powerful proof,bisul'ṭānin,to be strong; hard; sharp; empower; prevail; authority; plea; argument; power; demonstration; convincing proof,27,21
48765,3203,27:21,9,ب ي ن,مُّبِينٍ,"clear (*good excuse).""",mubīnin,"to be distinct and separate; far away; remote; divorced (women); clear; obvious; appear; explain; easily understood; declaration; explanation; argument; rhetoric; clear meaning; intelligent and distinct speech or thought; evidence; clear proof; precise testimony; clear explanation; beyond doubt; parting; cutting; manifest; distinct; perceive; between; before; expound; became clear; became manifest; open; self expressive; luminous; ",27,21
48766,3204,27:22,1,م ك ث,فَمَكَثَ,So he stayed / waited,famakatha,to abide; dwell; remain; wait in place; delay; stay; stopping and waiting,27,22
48767,3204,27:22,2,غ ي ر,غَيْرَ,not,ghayra,to change; alter; difference; another; besides; unless; without; except; others; other than; save; but; but not; to attack; raiders; what is not knowable (to an individual),27,22
48768,3204,27:22,3,ب ع د,بَعِيدٍ,"long,",baʿīdin,to be far off; go a long way off; go away; die; perish; ... afterwards; again; ...remote; far; away; distant; latter,27,22
48769,3204,27:22,4,ق و ل,فَقَالَ,"and he said,",faqāla,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,22
48770,3204,27:22,5,ح و ط,أَحَطتُ,"""I encompassed / knew",aḥaṭtu,to encompass; fully surround; fully comprehend; fully know,27,22
48771,3204,27:22,6,ب م ا,بِمَا,that which,bimā,,27,22
48772,3204,27:22,7,ل م,لَمْ,not,lam,the word لِمَ = why and لَمْ = not [past tense],27,22
48773,3204,27:22,8,ح و ط,تُحِطْ,you encompass / know,tuḥiṭ,to encompass; fully surround; fully comprehend; fully know,27,22
48774,3204,27:22,9,ب,بِهِۦ,"of it,",bihi,with; from; in; at; during; for; by; on account of; according to; with the help of,27,22
48775,3204,27:22,10,ج ي ا,وَجِئْتُكَ,and I came to you,waji'tuka,to come; bring; arrive; fall (rain); do a thing,27,22
48776,3204,27:22,11,م ن,مِن,from,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,22
48777,3204,27:22,12,س ب ا,سَبَإٍۭ,Sheba,saba-in,,27,22
48778,3204,27:22,13,ن ب ا,بِنَبَإٍ,with news,binaba-in,to be high; lofty; news; information; prophecy; prophet; to inform; message; announcement (one who is given a scripture),27,22
48779,3204,27:22,14,ي ق ن,يَقِينٍ,certain.,yaqīnin,to be certain; obvious; sure; death; convinced,27,22
48780,3205,27:23,1,ا ن ن,إِنِّى,"""Indeed, I",innī,,27,23
48781,3205,27:23,2,و ج د,وَجَدتُّ,[I] found,wajadttu,"to find what was lost, perceive, obtain, find anyone or anything (such and such)",27,23
48782,3205,27:23,3,م ر ا,ٱمْرَأَةً,a woman,im'ra-atan,to be wholesome; easy of digestion; good cheer and pleasure; beneficial to anyone; human being; man; woman; wife,27,23
48783,3205,27:23,4,م ل ك,تَمْلِكُهُمْ,she is ruling them,tamlikuhum,to possess; become the owner of; conquer; have control; rule; take a wife; to marry; have power; reign; be capable of; able to obtain; can do; can avail; have authority; hold; transfer property; give to anyone the possession; give a support to; marriage; to own; king; lord; monarch; master; dominion; kingdom; angel; owner,27,23
48784,3205,27:23,5,ا ت ي,وَأُوتِيَتْ,and she was given,waūtiyat,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",27,23
48785,3205,27:23,6,م ن,مِن,of,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,23
48786,3205,27:23,7,ك ل ل,كُلِّ,every,kulli,"all; whole; totality; universality; every; each; everyone; each one; entirely; totally; whenever; every time; often as; so often as; as often as; how often; whatever; whatsoever; both; each of the two; ",27,23
48787,3205,27:23,8,ش ي ا,شَىْءٍ,thing,shayin,to will; wish; thing; matter; affair in any way; at all; what is willed our wished; aught; any extent; a little; a bit; at all; in any way,27,23
48788,3205,27:23,9,ل,وَلَهَا,and for her (is),walahā,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",27,23
48789,3205,27:23,10,ع ر ش,عَرْشٌ,a throne / palace,ʿarshun,to construct; build; make trellis; make a vine-stalk; roof; raise (a house); settle; raise (a structure); throne; dominion; pavilion; roof; power; sovereignty; property; wealth; bounty; object of desire,27,23
48790,3205,27:23,11,ع ظ م,عَظِيمٌ,great / tremendous.,ʿaẓīmun,great; important; big; regard; honor; exalt; Great; Greater; Supreme; Big; bone,27,23
48791,3206,27:24,1,و ج د,وَجَدتُّهَا,"""And I found her",wajadttuhā,"to find what was lost, perceive, obtain, find anyone or anything (such and such)",27,24
48792,3206,27:24,2,ق و م,وَقَوْمَهَا,and her people,waqawmahā,to stand; stand fast or firm; stand still; stand up; rise; stop; appear in broad light (truth); come back to life; rise against; persevere in; rise in honoring; sustain; rise for prayer; to maintain; erect; set up; rectify; make accurate; awake; to perform prayer; establish; observe; be straightforward; appoint; nation; tribe; party; some people; station; pause in prayer; revolution; livelihood; sustenance; mainstay; normal condition; Sustainer; Guardian; One who manages and maintains the affairs; One who undertakes the maintenance and protection; Maintainer; Resurrection; Hereafter; Day of Judgment; to raise uproar; value; price; stature of a person; the husband; guardian of the wife; true faith; self sustaining; self existing; abode; place; residence; rank; dignity; proportion; symmetry; mould; model (like model employee); formation; straight; right; undeviating without crookedness / قَائِمَةً = upright (people); arises; will come,27,24
48793,3206,27:24,3,س ج د,يَسْجُدُونَ,[they] prostrate,yasjudūna,prostrate; worship; submit; humble,27,24
48794,3206,27:24,4,ش م س,لِلشَّمْسِ,to the sun,lilshamsi,"to be bright with sunshine, be glorious, be sunny. shams: sun",27,24
48795,3206,27:24,5,م ن,مِن,[from],min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,24
48796,3206,27:24,6,د و ن,دُونِ,instead of,dūni,besides; before; after; without; against; to the exclusion of; in opposition to; contrary to,27,24
48797,3206,27:24,7,ا ل ه,ٱللَّهِ,"God,",l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,27,24
48798,3206,27:24,8,ز ي ن,وَزَيَّنَ,and [he] adorned,wazayyana,to adorn; ornament (jewelry or apparel); deck; make appealing or pleasing; illumination,27,24
48799,3206,27:24,9,ل,لَهُمُ,for them,lahumu,"a preposition denoting possession or attribution; to; for; unto; on account of; in order to; belonging to; ",27,24
48800,3206,27:24,10,ش ط ن,ٱلشَّيْطَـٰنُ,the devil,l-shayṭānu,to be obstinate; perverse; become remote or far from the truth and from the mercy of God; rebellious; devils,27,24
48801,3206,27:24,11,ع م ل,أَعْمَـٰلَهُمْ,"their deeds,",aʿmālahum,to do; make; act; work; operate; perform; construct; manufacture; practice in a craft,27,24
48802,3206,27:24,12,ص د د,فَصَدَّهُمْ,and he averted / repulsed them,faṣaddahum,to turn away; divert; hinder; avert; to shun a think; shrink from; raise; clamour; shout; cry aloud; repulsive; hot or boiling water,27,24
48803,3206,27:24,13,ع ن,عَنِ,from,ʿani,off; of; from; about; because; away from; out of; in spite of; concerning; on account of; instead of; for; after; with; on the authority of,27,24
48804,3206,27:24,14,س ب ل,ٱلسَّبِيلِ,"the path,",l-sabīli,way; path; reason; cause; road; necessity; responsibility; method; means of access,27,24
48805,3206,27:24,15,ه م,فَهُمْ,so they,fahum,,27,24
48806,3206,27:24,16,ل ا,لَا,not,lā,no; not; [present tense],27,24
48807,3206,27:24,17,ه د ي,يَهْتَدُونَ,[they] are guided.,yahtadūna,to guide; show with kindness the right path; lead to the right path; guidance; follow the right path; to find guidance; offering (animals to slaughtered during Hajj); gift; present,27,24
48808,3207,27:25,1,ا ل ل ا,أَلَّا,"""That not",allā,if not; unless; except; some; otherwise; less; but; and; also,27,25
48809,3207,27:25,2,س ج د,يَسْجُدُوا۟,they prostrate,yasjudū,prostrate; worship; submit; humble,27,25
48810,3207,27:25,3,ا ل ه,لِلَّهِ,"to God,",lillahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,27,25
48811,3207,27:25,4,ا ل ل ذ,ٱلَّذِى,the One who,alladhī,He; Him; Whose; Whom; Which; Those who,27,25
48812,3207,27:25,5,خ ر ج,يُخْرِجُ,He brings out (manifests),yukh'riju,go out; go forth; come forth; deport; attack; rebel against; pay a tax; income; spend; tribute; maintenance,27,25
48813,3207,27:25,6,خ ب ا,ٱلْخَبْءَ,the mysteries,l-khaba-a,to hide; conceal; that which is hidden,27,25
48814,3207,27:25,7,ف ي,فِى,in,fī,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,27,25
48815,3207,27:25,8,س م و,ٱلسَّمَـٰوَٰتِ,the heavens,l-samāwāti,name; attribute; to be high; raised lofty; heavens; heights; rain; rain clouds; figure seen from afar; good repute; fame; sublime; fixed; determined,27,25
48816,3207,27:25,9,ا ر ض,وَٱلْأَرْضِ,and the earth,wal-arḍi,to rotate; bring forth herbs; that which rotates; earth; land; city; country; ground,27,25
48817,3207,27:25,10,ع ل م,وَيَعْلَمُ,and He knows,wayaʿlamu,"to mark; sign; distinguish; long mountain; know; distinguish; nation; world; community; science; knowledge; learning; information; wise; learned; one who knows; educated; taught; well known, one's limit of potential knowledge",27,25
48818,3207,27:25,11,م ا,مَا,what,mā,that; which; that which; whatsoever; as much as; any kind; when; how,27,25
48819,3207,27:25,12,خ ف ي,تُخْفُونَ,you [all] conceal,tukh'fūna,to be hidden; be unperceived; to conceal a thing; remove its covering; manifest; stealthy (this word can also have a contradictory meaning),27,25
48820,3207,27:25,13,م ا,وَمَا,and what,wamā,that; which; that which; whatsoever; as much as; any kind; when; how,27,25
48821,3207,27:25,14,ع ل ن,تُعْلِنُونَ,you [all] declare.,tuʿ'linūna,to be open; to make public; become known; reveal; public declaration,27,25
48822,3208,27:26,1,ا ل ه,ٱللَّهُ,"""God",al-lahu,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,27,26
48823,3208,27:26,2,ل ا,لَآ,(there is) no,lā,no; not; [present tense],27,26
48824,3208,27:26,3,ا ل ه,إِلَـٰهَ,god,ilāha,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,27,26
48825,3208,27:26,4,ا ل ل ا,إِلَّا,but,illā,if not; unless; except; some; otherwise; less; but; and; also,27,26
48826,3208,27:26,5,ه و,هُوَ,"He,",huwa,,27,26
48827,3208,27:26,6,ر ب ب,رَبُّ,(the) Lord (of),rabbu,"to be lord and master; collect; possess; rule; increase; complete; perfume; bring up; preserve; last; Mast; Chief; Determiner; Provider; Sustainer; Perfecter; Rewarder; Ruler; Creator; Maintainer; Reposer of properties; King of nature; Developer; Former of rules and laws of the growth; Foster of a thing in such a manner as to make it attain one condition after another until it reaches its goal of completion; (conveys  not only the idea of fostering, bringing up or nourishing but also that of regulating; completing, accomplishing, cherishing, sustaining, and bringing to maturity and evolution from the earliest state to that of the highest perfection.",27,26
48828,3208,27:26,7,ع ر ش,ٱلْعَرْشِ,the throne / dominion,l-ʿarshi,to construct; build; make trellis; make a vine-stalk; roof; raise (a house); settle; raise (a structure); throne; dominion; pavilion; roof; power; sovereignty; property; wealth; bounty; object of desire,27,26
48829,3208,27:26,8,ع ظ م,ٱلْعَظِيمِ,"the great.""",l-ʿaẓīmi,great; important; big; regard; honor; exalt; Great; Greater; Supreme; Big; bone,27,26
48830,3209,27:27,1,ق و ل,قَالَ,"He said,",qāla,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,27
48831,3209,27:27,2,ن ظ ر,سَنَنظُرُ,"""We will see",sananẓuru,to see; look; glance; gaze; observe; behold; consider; regard; listen; be patient towards; wait; contemplate; grant respite; put off; scrutinize; show kindness; examine; search; reflect; mediate; consider,27,27
48832,3209,27:27,3,ص د ق,أَصَدَقْتَ,whether you spoke truth,aṣadaqta,truthful; sincere; true; speak the truth; establish or confirm the truth of what another has said; verify; keep faith; fulfill; keep a promise; trustworthy; to give alms; dowry; be charitable,27,27
48833,3209,27:27,4,ا م,أَمْ,or,am,or (as a question),27,27
48834,3209,27:27,5,ك و ن,كُنتَ,you were,kunta,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",27,27
48835,3209,27:27,6,م ن,مِنَ,of,mina,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,27
48836,3209,27:27,7,ك ذ ب,ٱلْكَـٰذِبِينَ,the liars.,l-kādhibīna,"to lie; falsely invent; fabricate; say falsehood; be wrong; be cut off; deceive; disappoint the expectation of; victim of falsehood; false promises; ",27,27
48837,3210,27:28,1,ذ ه ب,ٱذْهَب,"""Go",idh'hab,to go; go away; depart; take away or go away with; remove; pass along; die; be ended; hold an opinion; follow the opinion of; belief; adapt; opinion; sect; gold,27,28
48838,3210,27:28,2,ك ت ب,بِّكِتَـٰبِى,"with my letter,",bikitābī,to write; note; record; collect; bring together; prescribe; ordain; destine; decree; transcribe; command; inscribe; book; writing; scripture; written revelation; decree; letter; prescribed period; to cause to be written (*to allow a slave to obtain their freedom by paying a agreed price written down),27,28
48839,3210,27:28,3,ه ا ذ,هَـٰذَا,"this,",hādhā,,27,28
48840,3210,27:28,4,ل ق ي,فَأَلْقِهْ,and deliver it,fa-alqih,to meet; meet with; see; throw; come across; experience; suffer from; occur; undergo; endure; find out a thing; lean upon; receive; come face to face; go in the direction of or towards; giving; on accord; to cast upon; shed over; granted; gifted; throw out (a suggestion); put down; make accessory; receive; learn,27,28
48841,3210,27:28,5,ا ل ي,إِلَيْهِمْ,to them.,ilayhim,,27,28
48842,3210,27:28,6,ث م م,ثُمَّ,Then,thumma,"thumma: then; afterwards; yet; moreover; thereafter; thereupon, and; thamma means here or there when in reference to a place, but when used to link a parallel statement it serves as a simple conjunction e.g. and or then (2:115, 26:64, 76:20, 82:21)",27,28
48843,3210,27:28,7,و ل ي,تَوَلَّ,you turn away,tawalla,to be close; near; follow; be up to; to turn; turn way; undertook; is in authority; took as friend; protects; defends; to make a friend; friend; helper; ally; successor; guardian; heir; defender; inheritance; patron; master; owner; protector; benefactor; clients; inheritors; focal point,27,28
48844,3210,27:28,8,ع ن,عَنْهُمْ,from them,ʿanhum,off; of; from; about; because; away from; out of; in spite of; concerning; on account of; instead of; for; after; with; on the authority of,27,28
48845,3210,27:28,9,ن ظ ر,فَٱنظُرْ,and see,fa-unẓur,to see; look; glance; gaze; observe; behold; consider; regard; listen; be patient towards; wait; contemplate; grant respite; put off; scrutinize; show kindness; examine; search; reflect; mediate; consider,27,28
48846,3210,27:28,10,م ا ذ ا,مَاذَا,what then (is it),mādhā,,27,28
48847,3210,27:28,11,ر ج ع,يَرْجِعُونَ,"they return / respond.""",yarjiʿūna,return; go back; repeat; answer; termination,27,28
48848,3211,27:29,1,ق و ل,قَالَتْ,"She said,",qālat,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,29
48849,3211,27:29,2,ا ي ي,يَـٰٓأَيُّهَا,"""O",yāayyuhā,who; which; what; whosoever; whatsoever; whichever,27,29
48850,3211,27:29,3,م ل ا,ٱلْمَلَؤُا۟,[the] chiefs / advisers!,l-mala-u,to fill; satisfy; help; handful; leader; chief; earthful,27,29
48851,3211,27:29,4,ا ن ن,إِنِّىٓ,"Indeed, [I]",innī,,27,29
48852,3211,27:29,5,ل ق ي,أُلْقِىَ,I received,ul'qiya,to meet; meet with; see; throw; come across; experience; suffer from; occur; undergo; endure; find out a thing; lean upon; receive; come face to face; go in the direction of or towards; giving; on accord; to cast upon; shed over; granted; gifted; throw out (a suggestion); put down; make accessory; receive; learn,27,29
48853,3211,27:29,6,ا ل ي,إِلَىَّ,to me,ilayya,,27,29
48854,3211,27:29,7,ك ت ب,كِتَـٰبٌ,a letter,kitābun,to write; note; record; collect; bring together; prescribe; ordain; destine; decree; transcribe; command; inscribe; book; writing; scripture; written revelation; decree; letter; prescribed period; to cause to be written (*to allow a slave to obtain their freedom by paying a agreed price written down),27,29
48855,3211,27:29,8,ك ر م,كَرِيمٌ,noble / honorable.,karīmun,to be productive; generous; precious; valuable; honorable; yield (rain); noble; kind; gracious; munificent; agreeable; worthy of respect; holy; fruitful; fair,27,29
48856,3212,27:30,1,ا ن ن,إِنَّهُۥ,"""Indeed, it (is)",innahu,,27,30
48857,3212,27:30,2,م ن,مِن,from,min,مَن = he; she; they; who; whosoever / مِن = (preposition used as a starting point or part of a whole or origin) from; of some; amongst; on; upon; from; of; relation; likeness; between; comparison; any; nor; will never be; cannot be,27,30
48858,3212,27:30,3,س ل م,سُلَيْمَـٰنَ,Solomon,sulaymāna,to be safe and sound; without blemish; safety; security; immunity; peace; obedience; Heaven; safe; secure; perfect; sincere; Submission; way to peace; stairway; ladder,27,30
48859,3212,27:30,4,ا ن ن,وَإِنَّهُۥ,"and indeed it (is),",wa-innahu,,27,30
48860,3212,27:30,5,س م و,بِسْمِ,In (the) name,bis'mi,name; attribute; to be high; raised lofty; heavens; heights; rain; rain clouds; figure seen from afar; good repute; fame; sublime; fixed; determined,27,30
48861,3212,27:30,6,ا ل ه,ٱللَّهِ,"(of) God,",l-lahi,to serve; worship or adore; to protect; grant refuge; preserve save; rescue; liberate; object of worship,27,30
48862,3212,27:30,7,ر ح م,ٱلرَّحْمَـٰنِ,"Most Gracious,",l-raḥmāni,"to love; have mercy; forgiveness; favor, affection; wombs",27,30
48863,3212,27:30,8,ر ح م,ٱلرَّحِيمِ,Most Merciful.,l-raḥīmi,"to love; have mercy; forgiveness; favor, affection; wombs",27,30
48864,3213,27:31,1,ا ل ل ا,أَلَّا,""" 'Do not",allā,if not; unless; except; some; otherwise; less; but; and; also,27,31
48865,3213,27:31,2,ع ل و,تَعْلُوا۟,you [all] exalt (yourselves) / be arrogant,taʿlū,to be high; elevated; lofty; exalted; ascend; overcome; be proud; rise in rank or dignity; raise; take up; mount; exaltation; pride; insolence; great height; dominate; conquer; prevail,27,31
48866,3213,27:31,3,ع ل ي,عَلَىَّ,to me,ʿalayya,on; upon; at; under; against; provided; so that; in respect; before; according to; for the sake of; to; above; in spite of; near; as,27,31
48867,3213,27:31,4,ا ت ي,وَأْتُونِى,but come to me [you all] (as),watūnī,"to come; bring; bring to; come to; come to pass; come upon; do; commit; come easily; arrive; bring; give; reach; happen; overtake; draw near; go; hit; meet; join; come personally or through command or operation and enforcement of orders; be engaged or occupied; commit (offense); perpetrate (crime); undertake (enterprise); present; pay; ",27,31
48868,3213,27:31,5,س ل م,مُسْلِمِينَ,"submitters.' """,mus'limīna,to be safe and sound; without blemish; safety; security; immunity; peace; obedience; Heaven; safe; secure; perfect; sincere; Submission; way to peace; stairway; ladder,27,31
48869,3214,27:32,1,ق و ل,قَالَتْ,"She said,",qālat,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,32
48870,3214,27:32,2,ا ي ي,يَـٰٓأَيُّهَا,"""O",yāayyuhā,who; which; what; whosoever; whatsoever; whichever,27,32
48871,3214,27:32,3,م ل ا,ٱلْمَلَؤُا۟,[the] chiefs / advisers!,l-mala-u,to fill; satisfy; help; handful; leader; chief; earthful,27,32
48872,3214,27:32,4,ف ت ي,أَفْتُونِى,Counsel me [you all],aftūnī,to be young; full-grown; brave; generous; youth; generosity; manly qualities; young man; bold; courageous; young slave; fine fellow; servant; to advise; explain; give opinion or instruction; judgment or decision in a matter of law; give a formal legal decree; issue a (divine) decree or a sacred law; explain the meaning; pronounce; to consult; ask opinion or advice; decision; opinion; advice,27,32
48873,3214,27:32,5,ف ي,فِىٓ,in,fī,(preposition) in; into; amongst; in company with; during; with; of; for; for the sake of; upon; concerning; after; in comparison; about; among; on account of; respecting; by the side of; on; by; against; according to; in respect of,27,32
48874,3214,27:32,6,ا م ر,أَمْرِى,my affair.,amrī,to command; order; enjoin; take counsel; matter; affair; news; authority; grievous,27,32
48875,3214,27:32,7,م ا,مَا,Not,mā,that; which; that which; whatsoever; as much as; any kind; when; how,27,32
48876,3214,27:32,8,ك و ن,كُنتُ,I (would) be,kuntu,"to be; exist; happen; occur; take place; become; be such or so; to be something; used to; beyond doubt; was; existed; happened; occurred; took place; were used to; is ever; is; worthy of; would be; are; Be!; side; place; abode; purpose; status; way; condition; intention; ability; place of existence or being; greatness; high rank; high standing; honorable position; certainly shall be; may be; ",27,32
48877,3214,27:32,9,ق ط ع,قَاطِعَةً,one who decides,qāṭiʿatan,"to cut; cut off; separate; turn; sever; cross; divide; suppress; curtail; asunder; decide; pass or traverse; infest abolish; intercept; portion; folk or cattle; any kind of group; flock; herd; darkness of the night towards morning; ",27,32
48878,3214,27:32,10,ا م ر,أَمْرًا,any matter / command,amran,to command; order; enjoin; take counsel; matter; affair; news; authority; grievous,27,32
48879,3214,27:32,11,ح ت ت ي,حَتَّىٰ,until,ḥattā,to; till; until; included; even; in order that; even to; up to; down to; as far as; and,27,32
48880,3214,27:32,12,ش ه د,تَشْهَدُونِ,"you [all] are present to me / advise me.""",tashhadūni,to be present with; bear witness; bear testimony; witness; evidence; taking of evidence; obvious; evident; known; manifest; apparent / مَشْهَدِ meeting place; time or place of being present or giving or hearing evidence,27,32
48881,3215,27:33,1,ق و ل,قَالُوا۟,"They said,",qālū,to say; speak; inspire; profess; grasp; point cut; relate; emit an opinion; thought; answer; reply; to fabricate lies,27,33
48882,3215,27:33,2,ن ح ن,نَحْنُ,"""We (are)",naḥnu,,27,33
48883,3215,27:33,3,ا و ل,أُو۟لُوا۟,those who possess,ulū,"To return, be before, come back to. To interpret [by consideration], explain. To contract, withdraw, become. To preside over, hold command or authority. To come to be. To put in a proper state/condition, or to compose [an affair]. To resort to; namely [a thing of any kind; the thing or place whence he or it originated, or came. His or its origin or source; his or its original state, condition, quantity, weight; any place. A former action, saying, or the like]. To return or restore to [ a thing, place, or disposition]. To explain, expound, interpret [collecting the meanings of dubious expressions by such expression as is clear, or plain, without dubiousness]. To explain the meaning of that which is equivocal or ambiguous. To be seen from a distance.",27,33
48884,3215,27:33,4,ق و ي,قُوَّةٍ,strength,quwwatin,strong; prevail; able; powerful; vigorous; forceful; firmness; resolution; determination; desert; dwell in a desert; wilderness; wasteland; hunger or starvation; unfortunate and confused,27,33
